2021-03-12 14:12:23.243496 Started
	log = true
	locators = 0:0:0:a, 0:0:0:b, 0:0:0:c
	nid = ffff:0:0:d
2021-03-12 14:12:23.250077 ff02:0:0:1:0:0:0:0%0:0:0:a                    <- 0:0:0:a:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\n\x01desktop'
2021-03-12 14:12:23.251487 ff02:0:0:1:0:0:0:0%0:0:0:b                    <- 0:0:0:b:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\x0b\x01desktop'
2021-03-12 14:12:23.253010 ff02:0:0:1:0:0:0:0%0:0:0:c                    <- 0:0:0:c:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\x0c\x01desktop'
2021-03-12 14:12:23.253117 0:0:0:a:ffff:0:0:a%0:0:0:a                    -> ff02:0:0:1:0:0:0:0             (   22, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\n\x00\x00\x00\x00\x00\x00\x00\n\x00alice'
2021-03-12 14:12:23.274978 0:0:0:b:ffff:0:0:b%0:0:0:b                    -> ff02:0:0:1:0:0:0:0             (   20, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\x0b\x00\x00\x00\x00\x00\x00\x00\x0b\x00bob'
2021-03-12 14:12:23.278816 0:0:0:b:ffff:0:0:b%0:0:0:b                    <- *0:0:0:a:ffff:0:0:a%0:0:0:a    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x01\xdduH|\xbb\xad\xe0\xcc\xab%\x90\xf4R\x89\xcd\xef\x0e'...
2021-03-12 14:12:23.279865 0:0:0:b:ffff:0:0:b%0:0:0:b                    <- *0:0:0:a:ffff:0:0:a%0:0:0:a    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x02\xf3.\x0e\xaa\\G\x1d\xa5\xa9pD+\x1b$\xee\x13?'...
2021-03-12 14:12:23.584753 0:0:0:b:ffff:0:0:b%0:0:0:b                    <- *0:0:0:a:ffff:0:0:a%0:0:0:a    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x03 \xd3\xb9M\x0cK\x8d\xd9\xf6u\xe4\xc7B\xeaE\xe1\xd9'...
2021-03-12 14:12:23.679530 0:0:0:b:ffff:0:0:b%0:0:0:b                    <- *0:0:0:a:ffff:0:0:a%0:0:0:a    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x04\x1d\x05YB\xb5\xbc\xef\x8e\x88\xc2^\xcf\xfe\xb2\x7fo\x7f'...
