2021-04-10 15:10:47.420077 Started
	log = true
2021-04-10 15:11:04.917182 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 <- [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:11:04.912427 | '...
2021-04-10 15:11:05.682981 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 -> [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:11:05.804945 | bob'
2021-04-10 15:11:05.920149 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 <- [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:11:05.919265 | '...
2021-04-10 15:11:06.686117 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 -> [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:11:06.807987 | bob'
2021-04-10 15:11:06.923017 [0:0:0:b:ffff:0:0:b%0:0:0:a]:1000 <- [0:0:0:a:ffff:0:0:a]:1000      b'2021-04-10 15:11:06.922153 | '...
2021-04-10 15:11:07.687747 [0:0:0:b:ffff:0:0:b%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:a]:1000      b'2021-04-10 15:11:07.811188 | bob'
2021-04-10 15:11:07.925978 [0:0:0:b:ffff:0:0:b%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:a]:1000      b'2021-04-10 15:11:07.925019 | '...
2021-04-10 15:11:08.690942 [0:0:0:b:ffff:0:0:b%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:a]:1000      b'2021-04-10 15:11:08.814350 | bob'
2021-04-10 15:11:08.928877 [0:0:0:b:ffff:0:0:b%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:a]:1000      b'2021-04-10 15:11:08.927987 | '...
2021-04-10 15:11:09.693976 [0:0:0:b:ffff:0:0:b%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:a]:1000      b'2021-04-10 15:11:09.817329 | bob'
2021-04-10 15:11:09.934456 [0:0:0:b:ffff:0:0:b%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:a]:1000      b'2021-04-10 15:11:09.930953 | '...
2021-04-10 15:11:10.696719 [0:0:0:b:ffff:0:0:b%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:a]:1000      b'2021-04-10 15:11:10.820267 | bob'
2021-04-10 15:11:10.937530 [0:0:0:b:ffff:0:0:b%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:a]:1000      b'2021-04-10 15:11:10.936244 | '...
