Network Exception: No mapping for hostname 'bob'
2021-04-10 15:11:04.917704 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:04.912427 | alice
2021-04-10 15:11:04.918075 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:04.801940 | bob
2021-04-10 15:11:05.920594 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:05.919265 | alice
2021-04-10 15:11:05.920956 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:05.804945 | bob
2021-04-10 15:11:06.923454 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:06.922153 | alice
2021-04-10 15:11:06.923814 [bob/0:0:0:b:ffff:0:0:b%0:0:0:a]:1000    -> [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:06.807987 | bob
2021-04-10 15:11:07.926427 [bob/0:0:0:b:ffff:0:0:b%0:0:0:b]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:07.925019 | alice
2021-04-10 15:11:07.926791 [bob/0:0:0:b:ffff:0:0:b%0:0:0:b]:1000    -> [alice/0:0:0:b:ffff:0:0:a]:1000          2021-04-10 15:11:07.811188 | bob
2021-04-10 15:11:08.929390 [bob/0:0:0:b:ffff:0:0:b%0:0:0:b]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:08.927987 | alice
2021-04-10 15:11:08.929754 [bob/0:0:0:b:ffff:0:0:b%0:0:0:b]:1000    -> [alice/0:0:0:b:ffff:0:0:a]:1000          2021-04-10 15:11:08.814350 | bob
2021-04-10 15:11:09.934806 [bob/0:0:0:b:ffff:0:0:b%0:0:0:b]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:09.930953 | alice
2021-04-10 15:11:09.935051 [bob/0:0:0:b:ffff:0:0:b%0:0:0:b]:1000    -> [alice/0:0:0:b:ffff:0:0:a]:1000          2021-04-10 15:11:09.817329 | bob
2021-04-10 15:11:10.937739 [bob/0:0:0:b:ffff:0:0:b%0:0:0:b]:1000    <- [alice/0:0:0:a:ffff:0:0:a]:1000          2021-04-10 15:11:10.936244 | alice
2021-04-10 15:11:10.938173 [bob/0:0:0:b:ffff:0:0:b%0:0:0:b]:1000    -> [alice/0:0:0:b:ffff:0:0:a]:1000          2021-04-10 15:11:10.820267 | bob
