2021-04-10 15:10:47.446946 Started
	log = true
2021-04-10 15:11:05.044465 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:04.912427 | '...
2021-04-10 15:11:05.805973 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:05.804945 | bob'
2021-04-10 15:11:06.052726 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:05.919265 | '...
2021-04-10 15:11:06.809121 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:06.807987 | bob'
2021-04-10 15:11:07.050564 [0:0:0:a:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:06.922153 | '...
2021-04-10 15:11:07.812174 [0:0:0:b:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:07.811188 | bob'
2021-04-10 15:11:08.052294 [0:0:0:b:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:07.925019 | '...
2021-04-10 15:11:08.815296 [0:0:0:b:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:08.814350 | bob'
2021-04-10 15:11:09.055214 [0:0:0:b:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:08.927987 | '...
2021-04-10 15:11:09.818240 [0:0:0:b:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:09.817329 | bob'
2021-04-10 15:11:10.060805 [0:0:0:b:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:09.930953 | '...
2021-04-10 15:11:10.821374 [0:0:0:b:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:10.820267 | bob'
2021-04-10 15:11:11.066775 [0:0:0:b:ffff:0:0:a%0:0:0:b]:1000 -> [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:10.936244 | '...
2021-04-10 15:11:11.824488 [0:0:0:b:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:11.823423 | bob'
2021-04-10 15:11:12.827989 [0:0:0:b:ffff:0:0:a%0:0:0:b]:1000 <- [0:0:0:b:ffff:0:0:b]:1000      b'2021-04-10 15:11:12.826667 | bob'
