2021-03-12 14:21:24.188206 Started
	log = true
	locators = 0:0:0:a, 0:0:0:b, 0:0:0:c
	nid = ffff:0:0:d
2021-03-12 14:21:24.195758 ff02:0:0:1:0:0:0:0%0:0:0:a                    <- 0:0:0:a:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\n\x01desktop'
2021-03-12 14:21:24.196969 ff02:0:0:1:0:0:0:0%0:0:0:b                    <- 0:0:0:b:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\x0b\x01desktop'
2021-03-12 14:21:24.198637 ff02:0:0:1:0:0:0:0%0:0:0:c                    <- 0:0:0:c:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\x0c\x01desktop'
2021-03-12 14:21:24.262516 0:0:0:b:ffff:0:0:b%0:0:0:b                    -> ff02:0:0:1:0:0:0:0             (   20, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\x0b\x00\x00\x00\x00\x00\x00\x00\x0b\x01bob'
2021-03-12 14:21:24.262991 ff02:0:0:1:0:0:0:0%0:0:0:a                    <- 0:0:0:a:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\x0b\x00desktop'
2021-03-12 14:21:24.263653 ff02:0:0:1:0:0:0:0%0:0:0:b                    <- 0:0:0:b:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\x0b\x00desktop'
2021-03-12 14:21:24.264234 ff02:0:0:1:0:0:0:0%0:0:0:c                    <- 0:0:0:c:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\x0b\x00desktop'
2021-03-12 14:21:24.266208 0:0:0:a:ffff:0:0:a%0:0:0:a                    -> ff02:0:0:1:0:0:0:0             (   22, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\n\x00\x00\x00\x00\x00\x00\x00\n\x01alice'
2021-03-12 14:21:24.266652 ff02:0:0:1:0:0:0:0%0:0:0:a                    <- 0:0:0:a:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\n\x00desktop'
2021-03-12 14:21:24.267231 ff02:0:0:1:0:0:0:0%0:0:0:b                    <- 0:0:0:b:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\n\x00desktop'
2021-03-12 14:21:24.267781 ff02:0:0:1:0:0:0:0%0:0:0:c                    <- 0:0:0:c:ffff:0:0:d             (   24, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\r\x00\x00\x00\x00\x00\x00\x00\n\x00desktop'
2021-03-12 14:21:24.272307 0:0:0:a:ffff:0:0:a%0:0:0:a                    -> ff02:0:0:1:0:0:0:0             (   22, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\n\x00\x00\x00\x00\x00\x00\x00\n\x00alice'
2021-03-12 14:21:24.274514 0:0:0:b:ffff:0:0:b%0:0:0:b                    <- *0:0:0:a:ffff:0:0:a%0:0:0:a    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x01\x9d\xd9\xe3\xe1\x10\xf0\xe6N&\xf8\xc1J\x8b\x15\x96N:'...
2021-03-12 14:21:24.275588 0:0:0:b:ffff:0:0:b%0:0:0:b                    <- *0:0:0:a:ffff:0:0:a%0:0:0:a    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x02[\x94\xb8\xfbOO\xd0\x1ef!@)\x8e\xdd\xaa\xc4\xeb'...
2021-03-12 14:21:24.276886 0:0:0:b:ffff:0:0:b%0:0:0:b                    -> ff02:0:0:1:0:0:0:0             (   20, 43,  3) b'\xff\xff\x00\x00\x00\x00\x00\x0b\x00\x00\x00\x00\x00\x00\x00\x0b\x00bob'
2021-03-12 14:21:24.278152 0:0:0:a:ffff:0:0:a%0:0:0:a                    <- *0:0:0:b:ffff:0:0:b%0:0:0:b    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x01\x95\x93\x18X\tu\x11*rR\x1d2B\xb9p\xca\xf7'...
2021-03-12 14:21:24.278782 0:0:0:a:ffff:0:0:a%0:0:0:a                    <- *0:0:0:b:ffff:0:0:b%0:0:0:b    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x02A\x93 \xb38b\x84\xaa&\xfai$\r2\xd6\x85\x7f'...
2021-03-12 14:21:24.570284 0:0:0:b:ffff:0:0:b%0:0:0:b                    <- *0:0:0:a:ffff:0:0:a%0:0:0:a    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x03\xcb3\x1b\xbd3#\x9bRP\xd6\xe03dt\xcc\x92Y'...
2021-03-12 14:21:24.575023 0:0:0:a:ffff:0:0:a%0:0:0:a                    <- *0:0:0:b:ffff:0:0:b%0:0:0:b    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x03\xbc_U\x9d\x00\xc9\x05\xbbX\xc6\xca\xdc\xc1\xbfl\xad\x9c'...
2021-03-12 14:21:24.669468 0:0:0:b:ffff:0:0:b%0:0:0:b                    <- *0:0:0:a:ffff:0:0:a%0:0:0:a    ( 1400, 42,  2) b'\x03\xe8\x03\xe8\x00\x00\x00\x00\x00\x00\x00\x04\xe0+\x89\x81\xf8m\x86\xc8f\xfbh\xf8\xbbRh\xb3\x80'...
